lulc_id,lulc_description,affected_by_infra,usle_c,usle_p,root_depth,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12,CN_A,CN_B,CN_C,CN_D,Rk,protective_distance
1,Airport/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,98,98,98,5,
2,Dryland Agriculture,1,0.25,1,2100,0.4,0.4,1.1,1.1,1.2,1,0.4,1.1,1.1,1.05,1.03,1,67,78,85,89,5,
3,Dryland Agriculture Mix Shrubs,1,0.15,1,3000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,53,69.5,79.5,84.5,4,500
4,Forest Plantations,1,0.001,1,3700,1,1,1,1,1,1,1,1,1,1,1,1,37.5,58,71.5,78,4,500
5,Marsh Shrubs,1,0.0005,1,2100,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,39,61,74,80,2,1000
6,Mining,0,0.5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,77,86,91,94,5,
7,Open Land,0,0.5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,77,86,91,94,5,
8,Paddy Field,1,0.12525,1,2100,0.435,0.435,0.785,0.785,0.835,0.735,0.435,0.785,0.785,0.76,0.75,0.735,67,78,85,89,5,
9,Plantations,1,0.15,1,3000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,65,75,82,86,4,500
10,Pond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,5,
11,Primary DryLand Forest,1,0.0001,1,5200,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79,1,2000
12,Primary Mangrove Forest,1,0.0001,1,2100,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,36,60,73,79,1,2000
13,Primary Swamp Forest,1,0.0001,1,2100,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,36,60,73,79,1,2000
14,Savannah/Meadows,1,0.05,1,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,39,61,74,80,3,1000
15,Secondary DryLand Forest,1,0.00505,1,3650,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,37.5,58,71.5,78,3,1000
16,Secondary Mangrove Forest,1,0.0003,1,2100,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,37.5,58,71.5,78,2,1000
17,Secondary Swamp Forest,1,0.0003,1,2100,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,37.5,58,71.5,78,2,1000
18,Settlements,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,86,91,94,5,
19,Shrubs,1,0.01,1,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,39,61,74,80,3,1000
20,Swamp,1,0.0005,1,2100,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,36,60,73,79,2,1000
21,Transmigration,0,0.375,1,1550,0.2,0.2,0.55,0.55,0.6,0.5,0.2,0.55,0.55,0.525,0.515,0.5,72,82,88,91.5,5,
22,Water Body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,5,
99,Pelabuhan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,99,99,99,5,
