lulc_id,usle_c,usle_p,root_depth,Kc_1,Kc_2,Kc_3,Kc_4,Kc_5,Kc_6,Kc_7,Kc_8,Kc_9,Kc_10,Kc_11,Kc_12,CN_A,CN_B,CN_C,CN_D,Rk,protective_distance
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,
2,0.25,1,2100,0.4,0.4,1.1,1.1,1.2,1,0.4,1.1,1.1,1.05,1.03,1,82,82,82,82,5,
3,0.15,1,3000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,36,60,73,79,4,500
4,0.001,1,3700,1,1,1,1,1,1,1,1,1,1,1,1,43,65,76,82,4,500
5,0.0005,1,2100,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,98,98,98,98,2,1000
6,0.5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,
7,0.5,1,1000,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,
8,0.12525,1,2100,0.435,0.435,0.785,0.785,0.835,0.735,0.435,0.785,0.785,0.76,0.75,0.735,90,90,90,90,5,
9,0.15,1,3000,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,36,60,73,79,4,500
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,
11,0.0001,1,5200,1,1,1,1,1,1,1,1,1,1,1,1,36,60,73,79,1,2000
12,0.0001,1,2100,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,98,98,98,98,1,2000
13,0.0001,1,2100,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,98,98,98,98,1,2000
14,0.05,1,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,35,56,70,77,4,500
15,0.00505,1,3650,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,0.715,35.5,58,71.5,78,4,500
16,0.0003,1,2100,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,98,98,98,98,2,1000
17,0.0003,1,2100,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,98,98,98,98,2,1000
18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,
19,0.01,1,2100,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,0.43,35,56,70,77,4,500
20,0.0005,1,2100,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,0.47,98,98,98,98,2,1000
21,0.375,1,1550,0.2,0.2,0.55,0.55,0.6,0.5,0.2,0.55,0.55,0.525,0.515,0.5,41.5,41.5,41.5,41.5,5,
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,5,
